Parameters;1;2;3;4;5;6;7;8;9;10;11;12;13;14
ML;0;;;;;;;;;;;;;
BG;BalconeySunsetBG;0;;;;;;;;;;;;
N;0;दिल्ली शहर - भारत की राजधानी।;;;;;;;;;;;;
N;0;मैं इसी शहर में रहने वाली एक लड़की हूँ।;;;;;;;;;;;;
N;0;मेरा नाम... ;;;;;;;;;;;;
PN;BalconeySunsetBG;अपना नाम चुनें:;1;;;;;;;;;;;
PC;BalconeySunsetBG;1;;;;;;;;;;;;
N;0;...{$FemalePlayerName} हैं।;;;;;;;;;;;;
N;0;मैं हमेशा से यही रही, यही पली-बढ़ी हूँ, दिल्ली तो जैसे अब मेरी रगों में हैं।;;;;;;;;;;;;
N;0;अभी हाल ही में मेरी मेरे बॉयफ्रेंड से शादी हुई हैं।;;;;;;;;;;;;
PN;BalconeySunsetBG;अपने पति का नाम चुने:;0;;;;;;;;;;;
N;0;ये कहना गलत नहीं हैं कि शादी का लड्डू जो खाए वो भी पछताए, और जो न खाए वो भी पछताए! ;;;;;;;;;;;;
N;0;हाहाहा! ;;;;;;;;;;;;
FO;BalconeySunsetBG;;;;;;;;;;;;;
BG;BalconeySunsetBG;2;;;;;;;;;;;;
N;0;शाम का वक्त था, मैं अपनी बालकनी से खूबसूरत सन सेट के साथ {$MalePlayerName} का इंतजार कर रही थी।;;;;;;;;;;;;
N;0;मैं गुनगुना रही थी – “शाम भी कोई, जैसे हैं नदी... लेहेर लेहेर करके बह रही हैं…” ;;;;;;;;;;;;
D;BalconeySunsetBG;XXXF;Confuse;5 बज गए, अभी तक {$MalePlayerName} क्यों नहीं आया? ऐसे तो 4:30 तक आ जाता हैं।;0;D1;PatiPatniAurWo;0;L;;;;;
N;0;तभी बेल बजी।;BalconeySunsetBG;;;;;;;;;;;
SFX;DoorBell;2;;;;;;;;;;;;
FO;LivingRoomBG;;;;;;;;;;;;;
BG;LivingRoomBG;1;;;;;;;;;;;;
N;0;मैंने झट्ट से भाग कर दरवाज़ा खोला। ;;;;;;;;;;;;
D;LivingRoomBG;XXXF;Happy;(दरवाजा खोलते हुए) बेबी, तुम आ गए!;0;D1;PatiPatniAurWo;0;L;;;;;
FO;BuildingCorridorBG;;;;;;;;;;;;;
BG;BuildingCorridorBG;1;;;;;;;;;;;;
N;0;दरवाजे पर देखा तो कोई नहीं था। ;;;;;;;;;;;;
